index,heart_bpm_interpolate,wrist_quaternionW_pse,wrist_gravityX_pse,acc_z_pse,wrist_quaternionY_pse,wrist_gravityZ_pse,wrist_gravityY_pse,grav_y,activity
2025-06-10 14:50:56.519009300,164.625,1.6753701062457058,0.61403905013746,4.130004941405238,0.25159318805388314,0.20824030243969607,0.10902833097624867,9.158328878764037,cycling
2025-06-10 14:50:57.519009300,164.25,1.6278146096957735,0.6881589160444841,4.2173575933875584,0.2320342914811065,0.19513114878370683,0.10332206071798736,9.308129219263106,cycling
2025-06-10 14:50:58.519009300,163.875,1.5857900801495084,0.6792582488646453,4.246941179152563,0.18205973909376644,0.17671432862077577,0.0856283349031487,9.316605610839428,cycling
2025-06-10 14:50:59.519009300,163.5,1.4635470331550997,0.5630872345309921,4.241575009180296,0.17860567561614624,0.17598780005672524,0.06899284630307538,9.243512948861538,cycling
2025-06-10 14:51:00.519009300,163.125,1.3698548052606319,0.6378121735316433,4.282076891063131,0.17859782956460402,0.19552423243553896,0.06528569388533864,9.12403530098316,cycling
2025-06-10 14:51:01.519009300,162.75,1.3138139329921457,0.5512704040118754,4.276869322243323,0.18030477367637782,0.18585891040763305,0.060769640753395616,9.271367842670946,cycling
2025-06-10 14:51:02.519009300,162.375,1.3039526993368844,0.5719780337972121,4.063286345069469,0.17097022381863605,0.15536561883976632,0.06266777622453194,9.24730155087042,cycling
2025-06-10 14:51:03.519009300,162.0,1.3413988076054522,0.583381737874671,4.246507909095873,0.1684132581412607,0.13469235086869616,0.05961654950106318,9.147970578047335,cycling
2025-06-10 14:51:04.519009300,162.0,1.3422604468376578,0.5159382164019429,4.224000260737677,0.17809318983984848,0.13070095060193052,0.06195799327770821,9.253567076077282,cycling
2025-06-10 14:51:05.519009300,162.0,1.2524735658849429,0.5630188245869867,4.1448730291751605,0.17201105352692633,0.13480966641983458,0.06281470590735067,9.194821942273167,cycling
2025-06-10 14:51:06.519009300,162.25,1.2212074765755603,0.4961836549910642,4.20672438454876,0.1676577705311985,0.13396224454034766,0.0648374432446332,9.017959910014213,cycling
2025-06-10 14:51:07.519009300,162.5,1.1431829231935784,0.5129419148292513,4.288184016884226,0.15556194850071836,0.14576936310476243,0.05730099417181207,8.529757320101947,cycling
2025-06-10 14:51:08.519009300,162.75,1.2120386686524378,0.4434392427470667,4.253888165347475,0.17300114700758434,0.1622382507047324,0.05588194199118561,8.827787583674729,cycling
2025-06-10 14:51:09.519009300,163.0,1.2336280247047073,0.5410961369501138,4.257800579371275,0.17757269549156135,0.1383657307587566,0.06095871238224939,9.027827089593975,cycling
2025-06-10 14:51:10.519009300,162.75,1.192538040899325,0.6253673545482619,4.221226156514524,0.19223228884837482,0.13975097477957488,0.0628196247621587,9.056234084875024,cycling
2025-06-10 14:51:11.519009300,162.5,1.1761032145877075,0.6048740029983505,4.284217605542299,0.19921155784140362,0.135086255573989,0.06015982367965161,9.112622511087029,cycling
2025-06-10 14:51:12.519009300,162.25,1.1283460619774766,0.6752659166359328,4.19781386633055,0.21254013988792408,0.13741882992753973,0.06174782274928402,9.219749544613808,cycling
2025-06-10 14:51:13.519009300,162.0,1.0341390300432578,0.6808956847316054,4.200870380861629,0.21128784246485757,0.13489824835792474,0.06634671054461046,9.29511682676366,cycling
2025-06-10 14:51:14.519009300,161.75,0.9578238286666892,0.6584402256455946,4.336417449440454,0.23712507462953575,0.15508103359653433,0.0701095100792738,9.63728913715139,cycling
2025-06-10 14:51:15.519009300,161.5,0.8492008266543595,0.6676941124928182,4.206588280153758,0.2730542620057535,0.1794084355011909,0.07138612473619456,9.440904360192626,cycling
2025-06-10 14:51:16.519009300,161.25,0.7789145430658151,0.5274397373289514,4.214926316594429,0.2899078833731956,0.17493544085731844,0.07894138446375724,9.350880805406868,cycling
2025-06-10 14:51:17.519009300,161.0,0.8931040717079305,0.8043264708817489,4.1426465316817165,0.2754709315472203,0.15729801009832844,0.08452125867901952,9.286374413430124,cycling
2025-06-10 14:51:18.519009300,161.0,0.9416342057297822,0.6416386799424234,4.253743789755262,0.2837803583842461,0.16666375515877263,0.07665531913474187,9.345345599384636,cycling
2025-06-10 14:51:19.519009300,161.0,0.9550861301796909,0.7062672226245412,4.296761004018325,0.3164354430840917,0.18354347976656776,0.07989981990635005,9.337395639912604,cycling
2025-06-10 14:51:20.519009300,161.0,0.9242945185533161,0.7054197154450934,4.349949576834255,0.325131991942997,0.19623147929704132,0.08068187144333433,9.338645189891844,cycling
2025-06-10 14:51:21.519009300,161.0,0.8012218473164079,0.6396618405776835,4.327833955518518,0.31436152370935116,0.20039556108724146,0.08079606821323036,9.279247133446512,cycling
2025-06-10 14:51:22.519009300,161.0,0.7229977874883788,0.6316418871063302,4.209696712785281,0.303215699857409,0.1827314042792589,0.0768163476687802,9.228423235708773,cycling
2025-06-10 14:51:23.519009300,161.0,0.7088703304961368,0.6784161847340153,4.253189877642049,0.2667142834630391,0.1408781843789485,0.07958950863926045,9.176099787979574,cycling
2025-06-10 14:51:24.519009300,161.0,0.6918700907303987,0.6230356262281782,4.278122216418053,0.24039844419204393,0.11403579884977279,0.07470412122965073,9.21908130749908,cycling
2025-06-10 14:51:25.519009300,160.55555555555554,0.7173618584164797,0.6955118163139833,4.294044443523676,0.21471107643388287,0.0948108827616726,0.07284099791930217,9.20098691802457,cycling
2025-06-10 14:51:26.519009300,160.11111111111111,0.7945586437881749,0.6544103668008238,4.190100251766669,0.2049161284990861,0.09571209108062312,0.07800685694311311,9.217646750496536,cycling
